Section,Item,Resolution,Polarization,Price_Type,Price_THB,Unit,Notes
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pleiades NEO,30 cm,,ข้อมูลในคลัง (Standard Archive),880,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pleiades NEO,30 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1270,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-4,30 cm,,ข้อมูลในคลัง (Standard Archive),920,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-4,30 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1560,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-2,42 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-2,42 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-1,50 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-1,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-2,50 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-2,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-3,50 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),WorldView-3,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),GeoEye-1,50 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),GeoEye-1,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1100,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pleiades,50 cm,,ข้อมูลในคลัง (Standard Archive),490,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),Pleiades,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),830,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),EarthScanner,50 cm,,ข้อมูลในคลัง (Standard Archive),400,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),EarthScanner,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),800,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-1,50 cm,,ข้อมูลในคลัง (Standard Archive),500,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SuperView-1,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),900,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),KOMPSAT-3,50 cm,,ข้อมูลในคลัง (Standard Archive),400,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),KOMPSAT-3,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SKYSAT,50 cm,,ข้อมูลในคลัง (Standard Archive),300,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 1,250 ตร.กม.; เข้าดูผ่าน API/Explorer | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูงมาก (30-50 ซม.),SKYSAT,50 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),560,บาท/ตร.กม.,โปรดติดต่อเจ้าหน้าที่ | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Video Constellation,1 m,,ข้อมูลในคลัง (Standard Archive),142500,บาท/30 วินาที,ถ่ายวิดีโอ/ภาพกลางคืนได้ วิดีโอแต่ละช่วงยาวสูงสุด 30 วินาที | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Video Constellation,1 m,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),285000,บาท/30 วินาที,ถ่ายวิดีโอ/ภาพกลางคืนได้ วิดีโอแต่ละช่วงยาวสูงสุด 30 วินาที | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Night Imaging,1 m,,ข้อมูลในคลัง (Standard Archive),800,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม.; ความกว้างแนวถ่ายภาพอย่างน้อย 5 กม.; ถ่ายภาพกลางคืนได้ | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Night Imaging,1 m,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),1400,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม.; ความกว้างแนวถ่ายภาพอย่างน้อย 5 กม.; ถ่ายภาพกลางคืนได้ | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),QuickBird,60 cm,,ข้อมูลในคลัง (Standard Archive),700,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),GaoFen-7,65 cm,,ข้อมูลในคลัง (Standard Archive),400,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),GaoFen-7,65 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Jilin,75 cm,,ข้อมูลในคลัง (Standard Archive),300,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),Jilin,75 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),DailyVision,75 cm,,ข้อมูลในคลัง (Standard Archive),300,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),DailyVision,75 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),GaoFen-2,80 cm,,ข้อมูลในคลัง (Standard Archive),300,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),GaoFen-2,80 cm,,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),400,บาท/ตร.กม.,พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ราคายังไม่รวมภาษีมูลค่าเพิ่ม
ดาวเทียมรายละเอียดสูง (60 ซม. - 2 ม.),IKONOS,1 m,,ข้อมูลในคลัง (Standard Archive),400,บาท/ตร.กม.,"พื้นที่สั่งขั้นต่ำ 25 ตร.กม.; level Primary (PAN, MS, Pansharpened) | ราคายังไม่รวมภาษีมูลค่าเพิ่ม"
